Outlet Name	Street	District	City	Province	Địa chỉ	Google Maps Link
BÊ THUI HÙNG MẬP	Đinh Tiên Hoàng Lô 23	Phường Trần Lãm	Tỉnh Thái Bình	Thái Bình	Đinh Tiên Hoàng Lô 23 Tỉnh Thái Bình	https://www.google.com/maps/search/?api=1&query=B%C3%8A+THUI+H%C3%99NG+M%E1%BA%ACP+%C4%90inh+Ti%C3%AAn+Ho%C3%A0ng+L%C3%B4+23+T%E1%BB%89nh+Th%C3%A1i+B%C3%ACnh
QUAN BIA DOC LAP	Dinh tien hoang	Phường Trần Lãm	Tỉnh Thái Bình	Thái Bình	Dinh tien hoang Tỉnh Thái Bình	https://www.google.com/maps/search/?api=1&query=QUAN+BIA+DOC+LAP+Dinh+tien+hoang+T%E1%BB%89nh+Th%C3%A1i+B%C3%ACnh
TRÌNH QUÁN	1 Đông a	Phường Nam Định	Tỉnh Nam Định	Nam Định	1 Đông a Tỉnh Nam Định	https://www.google.com/maps/search/?api=1&query=TR%C3%8CNH+QU%C3%81N+1+%C4%90%C3%B4ng+a+T%E1%BB%89nh+Nam+%C4%90%E1%BB%8Bnh
Bia Tỉnh	1 D5	Phường Đông A	Tỉnh Nam Định	Nam Định	1 D5 Tỉnh Nam Định	https://www.google.com/maps/search/?api=1&query=Bia+T%E1%BB%89nh+1+D5+T%E1%BB%89nh+Nam+%C4%90%E1%BB%8Bnh
Sọt Quán	466 Kênh	Phường Nam Định	Tỉnh Nam Định	Nam Định	466 Kênh Tỉnh Nam Định	https://www.google.com/maps/search/?api=1&query=S%E1%BB%8Dt+Qu%C3%A1n+466+K%C3%AAnh+T%E1%BB%89nh+Nam+%C4%90%E1%BB%8Bnh
Vị Quán	506 Đường Kênh	Phường Nam Định	Tỉnh Nam Định	Nam Định	506 Đường Kênh Tỉnh Nam Định	https://www.google.com/maps/search/?api=1&query=V%E1%BB%8B+Qu%C3%A1n+506+%C4%90%C6%B0%E1%BB%9Dng+K%C3%AAnh+T%E1%BB%89nh+Nam+%C4%90%E1%BB%8Bnh
THANH HỢI	Thanh Niên	Phường Sầm Sơn	Tỉnh Thanh Hóa	Thanh Hóa	Thanh Niên Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=THANH+H%E1%BB%A2I+Thanh+Ni%C3%AAn+T%E1%BB%89nh+Thanh+H%C3%B3a
Ngoc Ha·	Khu Vinh Sơn	Phường Sầm Sơn	Tỉnh Thanh Hóa	Thanh Hóa	Khu Vinh Sơn Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=Ngoc+Ha%C2%B7+Khu+Vinh+S%C6%A1n+T%E1%BB%89nh+Thanh+H%C3%B3a
Tư do	TTTM	Phường Sầm Sơn	Tỉnh Thanh Hóa	Thanh Hóa	TTTM Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=T%C6%B0+do+TTTM+T%E1%BB%89nh+Thanh+H%C3%B3a
Đệ Nhất	Duong 47-Cau Binh Hoa Sốn Thang	Phường Sầm Sơn	Tỉnh Thanh Hóa	Thanh Hóa	Duong 47-Cau Binh Hoa Sốn Thang Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%87+Nh%E1%BA%A5t+Duong+47-Cau+Binh+Hoa+S%E1%BB%91n+Thang+T%E1%BB%89nh+Thanh+H%C3%B3a
BIA CỎ	11 Phú Vinh	Phường Hạc Thành	Tỉnh Thanh Hóa	Thanh Hóa	11 Phú Vinh Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=BIA+C%E1%BB%8E+11+Ph%C3%BA+Vinh+T%E1%BB%89nh+Thanh+H%C3%B3a
VŨ LINH2	Mặt bằng	Phường Ngọc Sơn	Tỉnh Thanh Hóa	Thanh Hóa	Mặt bằng Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=V%C5%A8+LINH2+M%E1%BA%B7t+b%E1%BA%B1ng+T%E1%BB%89nh+Thanh+H%C3%B3a
HÒA NGA	Đường 8	Phường Ngọc Sơn	Tỉnh Thanh Hóa	Thanh Hóa	Đường 8 Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=H%C3%92A+NGA+%C4%90%C6%B0%E1%BB%9Dng+8+T%E1%BB%89nh+Thanh+H%C3%B3a
ĐẠI DƯƠNG	Biển Hải Ninh Bắc Thành	Phường Ngọc Sơn	Tỉnh Thanh Hóa	Thanh Hóa	Biển Hải Ninh Bắc Thành Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BA%A0I+D%C6%AF%C6%A0NG+Bi%E1%BB%83n+H%E1%BA%A3i+Ninh+B%E1%BA%AFc+Th%C3%A0nh+T%E1%BB%89nh+Thanh+H%C3%B3a
BẢO NAM QUÁN	Bờ Đê	Phường Ngọc Sơn	Tỉnh Thanh Hóa	Thanh Hóa	Bờ Đê Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=B%E1%BA%A2O+NAM+QU%C3%81N+B%E1%BB%9D+%C4%90%C3%AA+T%E1%BB%89nh+Thanh+H%C3%B3a
24h	85 Lý Nam Đế	Phường Hạc Thành	Tỉnh Thanh Hóa	Thanh Hóa	85 Lý Nam Đế Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=24h+85+L%C3%BD+Nam+%C4%90%E1%BA%BF+T%E1%BB%89nh+Thanh+H%C3%B3a
23zoo	Thành Thái	Phường Hàm Rồng	Tỉnh Thanh Hóa	Thanh Hóa	Thành Thái Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=23zoo+Th%C3%A0nh+Th%C3%A1i+T%E1%BB%89nh+Thanh+H%C3%B3a
NAM HÒA	03 Hà Huy Tập	P. Hà Huy Tập	Tỉnh Hà Tĩnh	Hà Tĩnh	03 Hà Huy Tập Tỉnh Hà Tĩnh	https://www.google.com/maps/search/?api=1&query=NAM+H%C3%92A+03+H%C3%A0+Huy+T%E1%BA%ADp+T%E1%BB%89nh+H%C3%A0+T%C4%A9nh
Vịnh Truyền	28 Phan Chánh	P. Tân Giang	Tỉnh Hà Tĩnh	Hà Tĩnh	28 Phan Chánh Tỉnh Hà Tĩnh	https://www.google.com/maps/search/?api=1&query=V%E1%BB%8Bnh+Truy%E1%BB%81n+28+Phan+Ch%C3%A1nh+T%E1%BB%89nh+H%C3%A0+T%C4%A9nh
VEN SÔNG	18 Phan Chánh	P. Tân Giang	Tỉnh Hà Tĩnh	Hà Tĩnh	18 Phan Chánh Tỉnh Hà Tĩnh	https://www.google.com/maps/search/?api=1&query=VEN+S%C3%94NG+18+Phan+Ch%C3%A1nh+T%E1%BB%89nh+H%C3%A0+T%C4%A9nh
VƯỜN BIA 1976	60 Hà Tông Chính	P. Trần Phú	Tỉnh Hà Tĩnh	Hà Tĩnh	60 Hà Tông Chính Tỉnh Hà Tĩnh	https://www.google.com/maps/search/?api=1&query=V%C6%AF%E1%BB%9CN+BIA+1976+60+H%C3%A0+T%C3%B4ng+Ch%C3%ADnh+T%E1%BB%89nh+H%C3%A0+T%C4%A9nh
HUYNH ĐỆ	Tx. Cửa Lò Thu Thủy	Phường Thu Thuỷ	Tỉnh Nghệ An	Nghệ An	Tx. Cửa Lò Thu Thủy Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=HUYNH+%C4%90%E1%BB%86+Tx.+C%E1%BB%ADa+L%C3%B2+Thu+Th%E1%BB%A7y+T%E1%BB%89nh+Ngh%E1%BB%87+An
HẠNH CHÙ	215 Ngô Gia Tự	215 Ngô Gia Tự	Tỉnh Nghệ An	Nghệ An	215 Ngô Gia Tự Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=H%E1%BA%A0NH+CH%C3%99+215+Ng%C3%B4+Gia+T%E1%BB%B1+T%E1%BB%89nh+Ngh%E1%BB%87+An
CHIẾN CÒI	75 Lý Thường Kiệt	Lý Thường Kiệt	Tỉnh Nghệ An	Nghệ An	75 Lý Thường Kiệt Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=CHI%E1%BA%BEN+C%C3%92I+75+L%C3%BD+Th%C6%B0%E1%BB%9Dng+Ki%E1%BB%87t+T%E1%BB%89nh+Ngh%E1%BB%87+An
HẠC THÀNH GADER	Hạc Thành	Phường Hạc Thành	Tỉnh Thanh Hóa	Thanh Hóa	Hạc Thành Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=H%E1%BA%A0C+TH%C3%80NH+GADER+H%E1%BA%A1c+Th%C3%A0nh+T%E1%BB%89nh+Thanh+H%C3%B3a
BIA SAY EM	Nguyễn Thiếp	Phường Hạc Thành	Tỉnh Thanh Hóa	Thanh Hóa	Nguyễn Thiếp Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=BIA+SAY+EM+Nguy%E1%BB%85n+Thi%E1%BA%BFp+T%E1%BB%89nh+Thanh+H%C3%B3a
BIA VIET BACH CS3	Tạ Quang Bửu	Phường Bạch Mai	Thành Phố Hà Nội	Hà Nội	Tạ Quang Bửu Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+VIET+BACH+CS3+T%E1%BA%A1+Quang+B%E1%BB%ADu+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
TUAN BEO	Phương Mai	Phường Kim Liên	Thành Phố Hà Nội	Hà Nội	Phương Mai Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=TUAN+BEO+Ph%C6%B0%C6%A1ng+Mai+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA LOC VUNG	Trần Khát Chân	Phường Hai Bà Trưng	Thành Phố Hà Nội	Hà Nội	Trần Khát Chân Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+LOC+VUNG+Tr%E1%BA%A7n+Kh%C3%A1t+Ch%C3%A2n+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Bia Hơi Thắng Hói		Phường Mễ Trì	Thành Phố Hà Nội	Hà Nội		https://www.google.com/maps/search/?api=1&query=Bia+H%C6%A1i+Th%E1%BA%AFng+H%C3%B3i+Ph%C6%B0%E1%BB%9Dng+M%E1%BB%85+Tr%C3%AC+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i+H%C3%A0+N%E1%BB%99i
Tung Minh	Đào Duy Tùng	Huyện Đông Anh	Thành Phố Hà Nội	Hà Nội	Đào Duy Tùng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Tung+Minh+%C4%90%C3%A0o+Duy+T%C3%B9ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Nhà hàng Anh Hòa	169 Nguyễn Văn Lộc	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	169 Nguyễn Văn Lộc Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Nh%C3%A0+h%C3%A0ng+Anh+H%C3%B2a+169+Nguy%E1%BB%85n+V%C4%83n+L%E1%BB%99c+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Bia Phúc Hưng CS2	Số 29-30 C05 KĐT Geleximco Lê trọng Tấn	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	Số 29-30 C05 KĐT Geleximco Lê trọng Tấn Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Bia+Ph%C3%BAc+H%C6%B0ng+CS2+S%E1%BB%91+29-30+C05+K%C4%90T+Geleximco+L%C3%AA+tr%E1%BB%8Dng+T%E1%BA%A5n+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Nhà Hàng Bảo Sơn CS2	Lk79 KDT ĐÔ NGHĨA	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	Lk79 KDT ĐÔ NGHĨA Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Nh%C3%A0+H%C3%A0ng+B%E1%BA%A3o+S%C6%A1n+CS2+Lk79+KDT+%C4%90%C3%94+NGH%C4%A8A+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Quán Nhậu Dân Chủ 2	KDT An Hưng	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	KDT An Hưng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n+Nh%E1%BA%ADu+D%C3%A2n+Ch%E1%BB%A7+2+KDT+An+H%C6%B0ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
TRUNG KIÊN QUÁN	Tinh Thành Quốc Tế	Phường Kiến An	Thành Phố Hải Phòng	Hải Phòng	Tinh Thành Quốc Tế Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=TRUNG+KI%C3%8AN+QU%C3%81N+Tinh+Th%C3%A0nh+Qu%E1%BB%91c+T%E1%BA%BF+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
QUAN THUY DUNG	Ho Phong Luu	Phường Đông Hải	Thành Phố Hải Phòng	Hải Phòng	Ho Phong Luu Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=QUAN+THUY+DUNG+Ho+Phong+Luu+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
BINH DAM NINO	Chương Dương	Phường Hồng Bàng	Thành Phố Hải Phòng	Hải Phòng	Chương Dương Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=BINH+DAM+NINO+Ch%C6%B0%C6%A1ng+D%C6%B0%C6%A1ng+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
XÍNH GARDEN	Lê Mao Kéo Dài	Trường Vinh	Tỉnh Nghệ An	Nghệ An	Lê Mao Kéo Dài Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=X%C3%8DNH+GARDEN+L%C3%AA+Mao+K%C3%A9o+D%C3%A0i+T%E1%BB%89nh+Ngh%E1%BB%87+An
NAM THANH	Thôn Trung Thượng		Tỉnh Thanh Hóa	Thanh Hóa	Thôn Trung Thượng Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=NAM+THANH+Th%C3%B4n+Trung+Th%C6%B0%E1%BB%A3ng+T%E1%BB%89nh+Thanh+H%C3%B3a
BIA DUY BOM	Phường Đồng Tâm	Phường Bạch Mai	Thành Phố Hà Nội	Hà Nội	Phường Đồng Tâm Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+DUY+BOM+Ph%C6%B0%E1%BB%9Dng+%C4%90%E1%BB%93ng+T%C3%A2m+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
O2 QUÁN - MINH LINH QUÁN	Hồ Văn Khê	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	Hồ Văn Khê Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=O2+QU%C3%81N+-+MINH+LINH+QU%C3%81N+H%E1%BB%93+V%C4%83n+Kh%C3%AA+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Lẩu Dũng Râu	Mễ Trì Hạ	Phường Mễ Trì	Thành Phố Hà Nội	Hà Nội	Mễ Trì Hạ Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u+D%C5%A9ng+R%C3%A2u+M%E1%BB%85+Tr%C3%AC+H%E1%BA%A1+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
QUÁN NHẬU CHỊ LIÊN	Quang Trung	Phường Hồng Bàng	Thành Phố Hải Phòng	Hải Phòng	Quang Trung Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+NH%E1%BA%ACU+CH%E1%BB%8A+LI%C3%8AN+Quang+Trung+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
HIỆP BẦU QUÁN	Lê Hồng Phong Ngõ Lụt 22	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	Lê Hồng Phong Ngõ Lụt 22 Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=HI%E1%BB%86P+B%E1%BA%A6U+QU%C3%81N+L%C3%AA+H%E1%BB%93ng+Phong+Ng%C3%B5+L%E1%BB%A5t+22+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
CAGO	103 Vũ Quang		Tỉnh Hà Tĩnh	Hà Tĩnh	103 Vũ Quang Tỉnh Hà Tĩnh	https://www.google.com/maps/search/?api=1&query=CAGO+103+V%C5%A9+Quang+T%E1%BB%89nh+H%C3%A0+T%C4%A9nh
NHƯ Ý	SN 05 đường 510B, Phong Lan, xã hoằng tiến		Tỉnh Thanh Hóa	Thanh Hóa	SN 05 đường 510B, Phong Lan, xã hoằng tiến Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=NH%C6%AF+%C3%9D+SN+05+%C4%91%C6%B0%E1%BB%9Dng+510B%2C+Phong+Lan%2C+x%C3%A3+ho%E1%BA%B1ng+ti%E1%BA%BFn+T%E1%BB%89nh+Thanh+H%C3%B3a
LÀNG NƯỚNG MIỀN BIỂN	Tx. Sầm Sơn Khu Pho Vinh Sốn		Tỉnh Thanh Hóa	Thanh Hóa	Tx. Sầm Sơn Khu Pho Vinh Sốn Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=L%C3%80NG+N%C6%AF%E1%BB%9ANG+MI%E1%BB%80N+BI%E1%BB%82N+Tx.+S%E1%BA%A7m+S%C6%A1n+Khu+Pho+Vinh+S%E1%BB%91n+T%E1%BB%89nh+Thanh+H%C3%B3a
Tiến Quân quán	Số 220 An Đà		Thành Phố Hải Phòng	Thanh Hóa	Số 220 An Đà Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=Ti%E1%BA%BFn+Qu%C3%A2n+qu%C3%A1n+S%E1%BB%91+220+An+%C4%90%C3%A0+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
Bia Phố	Đinh Tiên Hoàng	Phường Hoa Lư	Tỉnh Ninh Bình	Ninh Bình	Đinh Tiên Hoàng Tỉnh Ninh Bình	https://www.google.com/maps/search/?api=1&query=Bia+Ph%E1%BB%91+%C4%90inh+Ti%C3%AAn+Ho%C3%A0ng+T%E1%BB%89nh+Ninh+B%C3%ACnh
TIẾN GẠCH	25 Lê Ninh	P. Nguyễn Du	Tỉnh Hà Tĩnh	Hà Tĩnh	25 Lê Ninh Tỉnh Hà Tĩnh	https://www.google.com/maps/search/?api=1&query=TI%E1%BA%BEN+G%E1%BA%A0CH+25+L%C3%AA+Ninh+T%E1%BB%89nh+H%C3%A0+T%C4%A9nh
NGHỊ HOA	Khu Vinh Sơn		Tỉnh Thanh Hóa	Thanh Hóa	Khu Vinh Sơn Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=NGH%E1%BB%8A+HOA+Khu+Vinh+S%C6%A1n+T%E1%BB%89nh+Thanh+H%C3%B3a
QUÁN NHẬU LONG HÒA	Bãi tắm		Tỉnh Hà Tĩnh	Hà Tĩnh	Bãi tắm Tỉnh Hà Tĩnh	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+NH%E1%BA%ACU+LONG+H%C3%92A+B%C3%A3i+t%E1%BA%AFm+T%E1%BB%89nh+H%C3%A0+T%C4%A9nh
QN Anh Và Em			Tỉnh Nghệ An	Nghệ An	 Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=QN+Anh+V%C3%A0+Em+T%E1%BB%89nh+Ngh%E1%BB%87+An
BIA VÂN HỒ	Hoa Lư		Thành Phố Hà Nội	Hà Nội	Hoa Lư Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+V%C3%82N+H%E1%BB%92+Hoa+L%C6%B0+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
ĐỨC BÉ	Lê Hồng Phong		Thành Phố Hải Phòng	Hải Phòng	Lê Hồng Phong Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%A8C+B%C3%89+L%C3%AA+H%E1%BB%93ng+Phong+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
Đệ Nhất Quán Nướng	30 Nguyễn Thiếp	Phường Hạc Thành	Tỉnh Thanh Hóa	Thanh Hóa	30 Nguyễn Thiếp Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%87+Nh%E1%BA%A5t+Qu%C3%A1n+N%C6%B0%E1%BB%9Bng+30+Nguy%E1%BB%85n+Thi%E1%BA%BFp+T%E1%BB%89nh+Thanh+H%C3%B3a
SIN QUAN	Lê Văn Lương	Phường Yên Hòa	Thành Phố Hà Nội	Hà Nội	Lê Văn Lương Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=SIN+QUAN+L%C3%AA+V%C4%83n+L%C6%B0%C6%A1ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA THÌN	150 Bồ Đề	Phường Bồ Đề	Thành Phố Hà Nội	Hà Nội	150 Bồ Đề Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+TH%C3%8CN+150+B%E1%BB%93+%C4%90%E1%BB%81+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
NH PHỐ XƯA 89 (CS2)	Chùa Đông	Phường Phố Hiến	Tỉnh Hưng Yên	Hưng Yên	Chùa Đông Tỉnh Hưng Yên	https://www.google.com/maps/search/?api=1&query=NH+PH%E1%BB%90+X%C6%AFA+89+%28CS2%29+Ch%C3%B9a+%C4%90%C3%B4ng+T%E1%BB%89nh+H%C6%B0ng+Y%C3%AAn
BIA LẨU 86	Đường Trục	Phường Phố Hiến	Tỉnh Hưng Yên	Hưng Yên	Đường Trục Tỉnh Hưng Yên	https://www.google.com/maps/search/?api=1&query=BIA+L%E1%BA%A8U+86+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BB%A5c+T%E1%BB%89nh+H%C6%B0ng+Y%C3%AAn
HIỆP VỊT QUÁN	Trịnh tố tâm	Phường Bồ Đề	Thành Phố Hà Nội	Hà Nội	Trịnh tố tâm Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=HI%E1%BB%86P+V%E1%BB%8AT+QU%C3%81N+Tr%E1%BB%8Bnh+t%E1%BB%91+t%C3%A2m+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Góc Đà Lạt cs1	CT4 - 1 kdt Mễ Trì Hạ Mễ trì hạ		Thành Phố Hà Nội	Hà Nội	CT4 - 1 kdt Mễ Trì Hạ Mễ trì hạ Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=G%C3%B3c+%C4%90%C3%A0+L%E1%BA%A1t+cs1+CT4+-+1+kdt+M%E1%BB%85+Tr%C3%AC+H%E1%BA%A1+M%E1%BB%85+tr%C3%AC+h%E1%BA%A1+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
HÙNG NẾT	Nghi Xuân	Cửa hội	Tỉnh Nghệ An	Nghệ An	Nghi Xuân Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=H%C3%99NG+N%E1%BA%BET+Nghi+Xu%C3%A2n+T%E1%BB%89nh+Ngh%E1%BB%87+An
Âm thực 555	Khu 8		Tỉnh Quảng Ninh	Quảng Ninh	Khu 8 Tỉnh Quảng Ninh	https://www.google.com/maps/search/?api=1&query=%C3%82m+th%E1%BB%B1c+555+Khu+8+T%E1%BB%89nh+Qu%E1%BA%A3ng+Ninh
Việt Ngoan	1 Đường thái bình	Phường Thiên Trường	Tỉnh Nam Định	Nam Định	1 Đường thái bình Tỉnh Nam Định	https://www.google.com/maps/search/?api=1&query=Vi%C3%AA%CC%A3t+Ngoan+1+%C4%90%C6%B0%E1%BB%9Dng+th%C3%A1i+b%C3%ACnh+T%E1%BB%89nh+Nam+%C4%90%E1%BB%8Bnh
Bia Cây Bàng	Nguyễn công trứ	Phường Hoa Lư	Tỉnh Ninh Bình	Nam Định	Nguyễn công trứ Tỉnh Ninh Bình	https://www.google.com/maps/search/?api=1&query=Bia+C%C3%A2y+B%C3%A0ng+Nguy%E1%BB%85n+c%C3%B4ng+tr%E1%BB%A9+T%E1%BB%89nh+Ninh+B%C3%ACnh
VŨ SƠN	Xóm 10	Quỳnh Lưu	Tỉnh Nghệ An	Nghệ An	Xóm 10 Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=V%C5%A8+S%C6%A0N+X%C3%B3m+10+T%E1%BB%89nh+Ngh%E1%BB%87+An
TỰ LẬP	57 Đinh chương dương	Phường Sầm Sơn	Tỉnh Thanh Hóa	Thanh Hóa	57 Đinh chương dương Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=T%E1%BB%B0+L%E1%BA%ACP+57+%C4%90inh+ch%C6%B0%C6%A1ng+d%C6%B0%C6%A1ng+T%E1%BB%89nh+Thanh+H%C3%B3a
FLAMINGO LẠCH TRƯỜNG	Plamin	Xã Hoằng Tiến	Tỉnh Thanh Hóa	Thanh Hóa	Plamin Tỉnh Thanh Hóa	https://www.google.com/maps/search/?api=1&query=FLAMINGO+L%E1%BA%A0CH+TR%C6%AF%E1%BB%9CNG+Plamin+T%E1%BB%89nh+Thanh+H%C3%B3a
BIA HAI HOI	Lê Duẩn	Phường Văn Miếu	Thành Phố Hà Nội	Hà Nội	Lê Duẩn Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+HAI+HOI+L%C3%AA+Du%E1%BA%A9n+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA HOI NGOC LONG	19 Vườn Hoa 1/5	Phường Đống Đa	Thành Phố Hà Nội	Hà Nội	19 Vườn Hoa 1/5 Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+HOI+NGOC+LONG+19+V%C6%B0%E1%BB%9Dn+Hoa+1%2F5+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
ẨM THỰC VƯỜN CAU	Lê Đức Thọ	Phường Từ Liêm	Thành Phố Hà Nội	Hà Nội	Lê Đức Thọ Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=%E1%BA%A8M+TH%E1%BB%B0C+V%C6%AF%E1%BB%9CN+CAU+L%C3%AA+%C4%90%E1%BB%A9c+Th%E1%BB%8D+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA HƠI NGÕ 76	Ngõ 76	Phường Phú Diễn	Thành Phố Hà Nội	Hà Nội	Ngõ 76 Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+H%C6%A0I+NG%C3%95+76+Ng%C3%B5+76+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA HOI BUI QUAN	BUI QUAN	Phường Việt Hưng	Thành Phố Hà Nội	Hà Nội	BUI QUAN Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+HOI+BUI+QUAN+BUI+QUAN+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Quán Cây Sấu	158 Phạm Ngọc Thạch	Phường Phủ Lý	Tỉnh Hà Nam	Hà Nam	158 Phạm Ngọc Thạch Tỉnh Hà Nam	https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n+C%C3%A2y+S%E1%BA%A5u+158+Ph%E1%BA%A1m+Ng%E1%BB%8Dc+Th%E1%BA%A1ch+T%E1%BB%89nh+H%C3%A0+Nam
